PMID,PubDate,EPubDate,Source,AuthorList,Author,LastAuthor,Title,Volume,Issue,Pages,LangList,Lang,NlmUniqueID,ISSN,ESSN,PubTypeList,PubType,RecordStatus,PubStatus,ArticleIds,pubmed,rid,eid,History,medline,entrez,References,HasAbstract,PmcRefCount,FullJournalName,ELocationID,SO
30078113,2018 Oct,2018 Aug 4,Biotechnol Lett,Song JKim SYKim DHLee YSSim JSHahn BSLee CM,Song J,Lee CM,"Characterization of an inhibitor-resistant endo-1,4-β-mannanase from the gut microflora metagenome of Hermetia illucens.",40,9-10,1377-1387,English,English,8008051,0141-5492,1573-6776,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,3007811310.1007/s10529-018-2596-210.1007/s10529-018-2596-23007811330078113,30078113,30078113,30078113,2018/02/05 00:002018/07/25 00:002018/08/06 06:002018/11/09 06:002018/08/06 06:00,2018/11/09 06:00,2018/08/06 06:00,"",1,0,Biotechnology letters,doi: 10.1007/s10529-018-2596-2,2018 Oct;40(9-10):1377-1387
29934497,2018 Jun 22,2018 Jun 22,Emerg Microbes Infect,Ji YZhang FZhang RShen YLiu LWang JYang JTang QXun JQi TWang ZSong WTang YChen JLu H,Ji Y,Lu H,Changes in intestinal microbiota in HIV-1-infected subjects following cART initiation: influence of CD4+ T cell count.,7,1,113,English,English,101594885,"",2222-1751,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,2993449710.1038/s41426-018-0117-y10.1038/s41426-018-0117-yPMC60150512993449729934497pmc-id: PMC6015051;,29934497,29934497,29934497,2017/12/04 00:002018/05/20 00:002018/05/09 00:002018/06/24 06:002018/06/24 06:002018/10/20 06:00,2018/10/20 06:00,2018/06/24 06:00,"",1,1,Emerging microbes & infections,doi: 10.1038/s41426-018-0117-y,2018 Jun 22;7(1):113
29907938,2018 Oct,2018 Jun 15,Curr Microbiol,Li WHou QWang YMa HLiu YZhao FLi JKwok LYYu JSun ZSun T,Li W,Sun T,Analysis of the Gut Microbial Diversity of Dairy Cows During Peak Lactation by PacBio Single-Molecule Real-Time (SMRT) Sequencing.,75,10,1316-1323,English,English,7808448,0343-8651,1432-0991,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,2990793810.1007/s00284-018-1526-910.1007/s00284-018-1526-92990793829907938,29907938,29907938,29907938,2018/01/04 00:002018/06/04 00:002018/06/17 06:002018/10/30 06:002018/06/17 06:00,2018/10/30 06:00,2018/06/17 06:00,"",1,0,Current microbiology,doi: 10.1007/s00284-018-1526-9,2018 Oct;75(10):1316-1323
29762673,2018 May 1,"",Gigascience,Pan HGuo RZhu JWang QJu YXie YZheng YWang ZLi TLiu ZLu LLi FTong BXiao LXu XLi RYuan ZYang HWang JKristiansen KJia HLiu L,Pan H,Liu L,A gene catalogue of the Sprague-Dawley rat gut metagenome.,7,5,"",English,English,101596872,"",2047-217X,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,29762673499526610.1093/gigascience/giy055PMC59674682976267329762673pmc-id: PMC5967468;,29762673,29762673,29762673,2017/10/19 00:002018/05/04 00:002018/05/16 06:002018/11/18 06:002018/05/16 06:00,2018/11/18 06:00,2018/05/16 06:00,"",1,1,GigaScience,doi: 10.1093/gigascience/giy055,2018 May 1;7(5)
29746643,2018 Jun 4,"",J Anim Sci,Metzler-Zebeli BULawlor PGMagowan EZebeli Q,Metzler-Zebeli BU,Zebeli Q,Interactions between metabolically active bacteria and host gene expression at the cecal mucosa in pigs of diverging feed efficiency.,96,6,2249-2264,English,English,8003002,0021-8812,1525-3163,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish,29746643499430510.1093/jas/sky118PMC60953442974664329746643pmc-id: PMC6095344;embargo-date: 2019/06/04;,29746643,29746643,29746643,2017/11/29 00:002018/04/27 00:002019/06/04 00:002018/05/11 06:002018/11/18 06:002018/05/11 06:00,2018/11/18 06:00,2018/05/11 06:00,"",1,0,Journal of animal science,doi: 10.1093/jas/sky118,2018 Jun 4;96(6):2249-2264
29738477,2018 May 8,2018 May 8,Nutrients,Klimenko NSTyakht AVPopenko ASVasiliev ASAltukhov IAIschenko DSShashkova TIEfimova DANikogosov DAOsipenko DAMusienko SVSelezneva KSBaranova AKurilshikov AMToshchakov SMKorzhenkov AASamarov NIShevchenko MATepliuk AVAlexeev DG,Klimenko NS,Alexeev DG,Microbiome Responses to an Uncontrolled Short-Term Diet Intervention in the Frame of the Citizen Science Project.,10,5,"",English,English,101521595,"",2072-6643,Journal Article,Journal Article,PubMed - indexed for MEDLINE,epublish,29738477nu1005057610.3390/nu10050576PMC59864562973847729738477pmc-id: PMC5986456;,29738477,29738477,29738477,2018/04/11 00:002018/04/28 00:002018/05/04 00:002018/05/09 06:002018/05/09 06:002018/11/20 06:00,2018/11/20 06:00,2018/05/09 06:00,"",1,1,Nutrients,pii: E576. doi: 10.3390/nu10050576,2018 May 8;10(5)
29730317,2018 Aug 10,2018 May 3,J Biotechnol,Lee CMKim SYSong JLee YSSim JSHahn BS,Lee CM,Hahn BS,Isolation and characterization of a halotolerant and protease-resistant α-galactosidase from the gut metagenome of Hermetia illucens.,279,"",47-54,English,English,8411927,0168-1656,1873-4863,Journal Article,Journal Article,PubMed - indexed for MEDLINE,ppublish+epublish,29730317S0168-1656(18)30146-910.1016/j.jbiotec.2018.05.0032973031729730317,29730317,29730317,29730317,2017/08/18 00:002018/04/29 00:002018/05/02 00:002018/05/08 06:002018/09/22 06:002018/05/07 06:00,2018/09/22 06:00,2018/05/07 06:00,"",1,0,Journal of biotechnology,doi: 10.1016/j.jbiotec.2018.05.003,2018 Aug 10;279:47-54
29664968,2018,2018 Apr 17,PLoS One,Betiku OCYeoman CJGaylord TGAmericus BOlivo SDuff GCSealey WM,Betiku OC,Sealey WM,Water system is a controlling variable modulating bacterial diversity of gastrointestinal tract and performance in rainbow trout.,13,4,e0195967,English,English,101285081,"",1932-6203,Journal Article,Journal Article,PubMed - indexed for MEDLINE,"",2966496810.1371/journal.pone.0195967PONE-D-17-21197PMC59036232966496829664968pmc-id: PMC5903623;,29664968,29664968,29664968,2017/06/02 00:002018/04/03 00:002018/04/18 06:002018/04/18 06:002018/07/28 06:00,2018/07/28 06:00,2018/04/18 06:00,"",1,0,PloS one,doi: 10.1371/journal.pone.0195967,2018;13(4):e0195967
29664912,2018,2018 Apr 17,PLoS One,Hugenholtz FDavids MSchwarz JMüller MTomé DSchaap PHooiveld GJEJSmidt HKleerebezem M,Hugenholtz F,Kleerebezem M,Metatranscriptome analysis of the microbial fermentation of dietary milk proteins in the murine gut.,13,4,e0194066,English,English,101285081,"",1932-6203,Journal Article,Journal Article,PubMed - indexed for MEDLINE,"",2966491210.1371/journal.pone.0194066PONE-D-17-19084PMC59036252966491229664912pmc-id: PMC5903625;,29664912,29664912,29664912,2017/05/18 00:002018/02/23 00:002018/04/18 06:002018/04/18 06:002018/07/11 06:00,2018/07/11 06:00,2018/04/18 06:00,"",1,0,PloS one,doi: 10.1371/journal.pone.0194066,2018;13(4):e0194066
29579049,2018,2018 Mar 26,PLoS One,Curtis JTAssefa SFrancis AKöhler GA,Curtis JT,Köhler GA,Fecal microbiota in the female prairie vole (Microtus ochrogaster).,13,3,e0190648,English,English,101285081,"",1932-6203,Journal Article,Journal Article,PubMed - indexed for MEDLINE,"",2957904910.1371/journal.pone.0190648PONE-D-17-15399PMC58687652957904929579049pmc-id: PMC5868765;,29579049,29579049,29579049,2017/04/20 00:002017/12/18 00:002018/03/27 06:002018/03/27 06:002018/06/19 06:00,2018/06/19 06:00,2018/03/27 06:00,"",1,0,PloS one,doi: 10.1371/journal.pone.0190648,2018;13(3):e0190648
